year,issue_d_time,final_d_time,emp_length_int,home_ownership,income_category,annual_inc,income_cat,loan_amount,term,purpose,interest_payments,loan_condition_cat,interest_rate,grade,dti,total_pymnt,total_rec_prncp,recoveries,installment,region
2013,31,610,5.0,MORTGAGE,Low,63000,1,3000,36months,vacation,High,0,15.61,C,25.77,3174112404,3000.0,0,104.9,leinster
2013,61,0,10.0,OWN,Medium,117000,2,35000,60months,credit_card,High,0,17.76,D,24.06,22989,11510.28,0,884.21,munster
2011,792,426,6.05,RENT,Low,15648,1,2400,36months,credit_card,Low,0,11.71,B,21.7,2856642657,2400.0,0,79.39,ulster
2013,31,0,10.0,MORTGAGE,Medium,104000,2,35000,60months,credit_card,High,0,13.53,B,20.75,20141,11797.47,0,805.89,Northern-Irl
2010,1461,1095,5.0,MORTGAGE,Low,95000,1,15000,36months,home_improvement,Low,0,11.14,B,24.87,17715,14999.99,0,492.06,leinster
2013,153,610,2.0,RENT,Low,86000,1,7200,36months,credit_card,High,0,15.88,C,9.68,79800000000,7200.0,0,252.71,Northern-Irl
2013,92,92,5.0,MORTGAGE,Low,49750,1,11000,36months,debt_consolidation,Low,1,9.99,B,26.65,8517,6963.18,0,354.89,leinster
2013,122,0,10.0,MORTGAGE,High,210000,3,12000,36months,home_improvement,Low,0,6.03,A,3.92,10225,9142.39,0,365.23,cannught
2010,1127,153,4.0,RENT,Low,63600,1,25000,60months,credit_card,High,0,13.35,C,12.74,28500000000,20725.0,0,475.28,leinster
2013,153,0,10.0,RENT,Medium,125000,2,8500,36months,debt_consolidation,High,0,18.85,D,25.91,9017,6454.15,0,310.94,leinster
2013,61,0,6.05,MORTGAGE,Low,36500,1,7200,36months,credit_card,Low,0,9.67,B,17.89,6011,4986.6,0,231.21,cannught
2010,1127,153,10.0,MORTGAGE,Low,50000,1,8000,60months,debt_consolidation,High,0,13.72,C,20.28,11100000000,8000.0,0,184.99,leinster
2013,92,0,10.0,MORTGAGE,Low,84000,1,10000,36months,home_improvement,Low,0,9.99,B,22.34,8708,7211.75,0,322.63,munster
2007,2284,2222,2.0,RENT,Low,45000,1,13925,36months,debt_consolidation,High,0,17.54,G,23.65,17759,13925.0,0,500.22,leinster
2013,31,457,4.0,MORTGAGE,Low,78000,1,29100,36months,credit_card,High,0,16.2,C,19.06,3262971338,29100.0,0,1025.95,munster
2009,1767,1767,6.0,RENT,Low,88000,1,12000,36months,debt_consolidation,Low,0,12.53,C,11.15,14094,11999.98,0,401.6,ulster
2008,1918,1522,10.0,OTHER,Low,45996,1,5500,36months,other,Low,0,10.2,B,6.03,6405,5500.0,0,177.99,Northern-Irl
2013,61,0,3.0,MORTGAGE,Low,86000,1,35000,60months,debt_consolidation,High,0,23.7,F,26.41,26021,10388.13,0,1000.8,munster
2011,976,579,10.0,RENT,Low,43000,1,7000,36months,major_purchase,Low,0,7.49,A,10.47,7833229863,7000.0,0,217.72,munster
2013,92,791,0.5,RENT,Low,67000,1,12000,36months,debt_consolidation,Low,0,12.99,B,12.32,12132,12000.0,0,404.27,Northern-Irl
2013,153,31,1.0,MORTGAGE,Low,70000,1,30000,60months,debt_consolidation,High,0,20.31,D,22.66,22391,10355.38,0,800.01,munster
2013,31,487,0.5,MORTGAGE,Low,46000,1,17875,60months,credit_card,High,1,24.08,F,19.7,6559,1342.41,2438,515.06,leinster
2010,1249,1279,4.0,RENT,Low,83004,1,12000,36months,other,Low,0,13.23,C,9.14,13364,12000.01,0,405.66,Northern-Irl
2013,61,0,6.0,RENT,Low,45000,1,8000,36months,credit_card,Low,0,10.99,B,14.88,6809,5508.73,0,261.88,ulster
2011,853,31,5.0,MORTGAGE,Low,52000,1,18000,60months,debt_consolidation,Low,0,11.99,B,8.13,20391,14555.21,0,400.31,cannught
2011,1006,1401,10.0,MORTGAGE,Low,38000,1,4500,36months,major_purchase,Low,0,5.79,A,7.58,4708,4500.0,0,136.48,Northern-Irl
2013,122,245,2.0,MORTGAGE,Medium,150000,2,4500,36months,credit_card,High,0,17.56,D,7.57,5550000000,4500.0,0,161.7,leinster
2013,92,31,3.0,RENT,Low,40000,1,8000,36months,credit_card,Low,0,12.99,B,33.96,7007,5458.25,0,269.52,ulster
2013,92,92,6.0,MORTGAGE,Medium,172500,2,20000,36months,home_improvement,High,0,24.99,F,9.97,27566,20000.0,0,795.1,leinster
2011,1065,1064,10.0,MORTGAGE,Low,85000,1,35000,60months,credit_card,High,0,17.14,E,15.19,45003,35000.0,0,872.48,cannught
2013,153,457,10.0,RENT,Low,47040,1,15000,36months,debt_consolidation,Low,1,10.64,B,5.48,6836,5272.21,0,488.53,Northern-Irl
2013,92,0,10.0,MORTGAGE,Low,49500,1,15000,36months,debt_consolidation,Low,0,9.99,B,15.15,13063,10818.04,0,483.94,leinster
2010,1127,699,3.0,RENT,Low,12000,1,4350,36months,other,Low,0,12.98,C,2.3,5289,4350.0,0,146.53,Northern-Irl
2013,92,0,3.0,MORTGAGE,Low,85000,1,22050,36months,debt_consolidation,Low,0,11.99,B,19.85,19039,15104.79,0,732.28,leinster
2013,61,0,3.0,MORTGAGE,Medium,115000,2,8975,36months,debt_consolidation,High,0,15.61,C,22.2,8158,6049.49,0,313.81,Northern-Irl
2013,153,31,8.0,MORTGAGE,Low,48000,1,8200,36months,debt_consolidation,High,0,15.88,C,34.33,10245,8200.0,0,287.81,munster
